,Unnamed: 0,4-block polymer,Electronic Dielectric Constant,Ionic Dielectric Constant,Total Dielectric Constant,HSE Band Gap (eV),SMILES,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,HeavyAtomMolWt,MaxAbsPartialCharge,MaxPartialCharge,MinAbsPartialCharge,MinPartialCharge,MolWt,NumValenceElectrons,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
0,0,CH2-CO-NH-CS,3.332,1.017,4.349,3.06,CC(=O)NC(=S),103.00918478,2.0,2.5,2.5,98.106,0.3233507253568192,0.2209211282650372,0.2209211282650372,-0.3233507253568192,103.14599999999999,34.0,0.7302607619194351,0.9947209021341886,0.013456614224169113,0.10446067367671516,0.8111090152386901,54.961207601248475,359.27563154452724,403.89792772949085,2.015530859303022,2.845527632949056e-13
1,1,CH2-CS-C6H4-O,3.572,0.467,4.039,2.531,CC(=S)C1=CC=CC=C1O,152.029585876,1.4,2.0,2.4,144.15399999999997,0.5072927026455694,0.12340434760685343,0.12340434760685343,-0.5072927026455694,152.21799999999996,52.0,0.2802904043715729,0.9330604192276429,0.003737450187074776,0.36098770882898223,0.8418180958382351,213.36349285054976,530.3894230674567,619.692541871992,2.1554557583706866,0.019214813151990202
2,2,C6H4-C6H4-C4H2S-CS,5.391,0.37,5.761,1.799,C1=CC=CC=C1C1=CC=CC=C1C1=CSC=C1C(=S),280.038042384,0.7368421052631579,1.4210526315789473,2.1578947368421053,268.32099999999997,0.15110226336408716,0.010067788988413236,0.010067788988413236,-0.15110226336408716,280.417,92.0,0.16523230754053894,0.8779335775343444,0.0006125766900671613,0.528163092947429,0.7583052727366035,1265.7562140357866,1480.1695391323701,1846.5777603363597,3.015385024392805,0.26844896850906436
3,3,CO-O-C4H2S-CS,3.784,0.879,4.663,2.25,C(=O)OC1=CSC=C1C(=S),171.965271368,1.6,2.4,3.0,168.19799999999998,0.42719030396014135,0.29804578712602264,0.29804578712602264,-0.42719030396014135,172.23000000000002,52.0,0.1941407251880136,0.8697044157012713,0.0014176729451584136,0.5059090483984681,0.6578225639314611,425.2261209743931,516.6971696278944,849.3979282960366,2.202709181522379,0.18898231093234727
4,4,C6H4-CS-C4H2S-O,3.616,0.517,4.133,2.522,C1=CC=CC=C1C(=S)C1=CSC=C1O,220.001656876,1.1428571428571428,1.8571428571428572,2.4285714285714284,212.25399999999996,0.5064001794958657,0.1344513774578529,0.1344513774578529,-0.5064001794958657,220.318,70.0,0.25062611469915225,0.9350385276871312,0.0017230037108122178,0.3185382265048043,0.8537112818868128,519.3018287874658,1241.1507299307145,1436.5038285388218,2.7422205657839376,0.34494058507375697
5,5,CO-C6H4-O-CS,3.988,0.738,4.726,2.308,C(=O)C1=CC=CC=C1OC(=S),166.008850432,1.3636363636363635,2.090909090909091,2.727272727272727,160.153,0.4528456071159728,0.15401083680765085,0.15401083680765085,-0.4528456071159728,166.201,56.0,0.3919682155498166,0.9595335917421145,0.003605025863713273,0.2726258499808241,0.7387067982421753,288.8934259789616,789.8422060584935,953.0329643655091,2.5136704612454963,0.010675833854075722
6,6,C6H4-O-CS-C4H2S,4.258,0.532,4.791,2.238,C1=CC=CC=C1OC(=S)C1=CSC=C1,220.001656876,1.1428571428571428,1.9285714285714286,2.5714285714285716,212.25399999999996,0.44521341283139815,0.19834290862669607,0.19834290862669607,-0.44521341283139815,220.318,70.0,0.5961536548439077,0.9892985571993624,0.0014453505869800962,0.3368632453592231,0.7023505331963,282.1120720732865,1771.7657176913285,1843.5259434195252,2.708171174815152,0.2680802339389685
7,7,C6H4-C4H2S-C6H4-C4H2S,3.928,0.11,4.037,2.328,C1=CC=CC=C1C1=CSC=C1C1=CC=CC=C1C1=CSC=C1,318.053692448,0.45454545454545453,1.1818181818181819,1.9545454545454546,304.354,0.15178244182950631,0.0008080469177783524,0.0008080469177783524,-0.15178244182950631,318.466,106.0,0.14967173824217625,0.8573834176849018,0.0006183424201206966,0.4713300799237349,0.821396376803967,1362.2926192755508,2202.8928371172137,3339.3583790880793,3.0043489283410163,0.461088853758661
8,8,NH-C4H2S-CO-C4H2S,5.804,1.674,7.478,1.858,NC1=CSC=C1C(=O)C1=CSC=C1,208.996905844,1.2307692307692308,2.076923076923077,2.6153846153846154,202.23899999999998,0.3974537870759007,0.1962718163268811,0.1962718163268811,-0.3974537870759007,209.29500000000002,66.0,0.4593207242689296,0.9731639446631555,0.002221798130745569,0.21085492550109072,0.8030720327272187,350.0251809522433,1204.186645402156,1546.7070512254297,2.772406442064174,0.023286282227292784
9,9,CH2-NH-C4H2S-CS,4.637,1.065,5.703,1.828,CNC1=CSC=C1C(=S),157.001991224,1.6666666666666667,2.4444444444444446,2.888888888888889,150.207,0.38693984003163046,0.05278845052047512,0.05278845052047512,-0.38693984003163046,157.26299999999998,48.0,0.2753668378727427,0.9261477315902796,0.0027143786186378128,0.38017771051746024,0.6519365930125813,259.66975244227734,492.0047381548117,756.9668404178209,2.2287529148762832,0.06695653833950777
