,SMILES,4-block polymer,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,HeavyAtomMolWt,MaxAbsPartialCharge,MaxPartialCharge,MinAbsPartialCharge,MinPartialCharge,MolWt,NumValenceElectrons,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,Band Gap (eV),Band Gap Uncertainty (eV),Total Dielectric Constant,Total Dielectric Constant Uncertainty,Probability of Improvement
871,C(=O)CNC(=O),CO-CH2-NH-CO,87.0320284,1.5,2.1666666666666665,2.3333333333333335,82.038,0.35189506468500825,0.20697865097200233,0.20697865097200233,-0.35189506468500825,87.07799999999999,34.0,0.20228737949742806,0.8977326713580445,0.010451614478013349,0.4404817170356409,0.8778445726085237,72.85335596940453,130.8773455930095,166.8931563217061,1.468085142819878,0.26188046869449827,5.700420000000001,1.2450131670157556,4.789470000000001,1.4806453687198105,0.3162530263247303
872,C(=O)COC(=O),CO-CH2-O-CO,88.016043988,1.5,2.1666666666666665,2.3333333333333335,84.03,0.46021042735128337,0.2930063248082845,0.2930063248082845,-0.46021042735128337,88.06199999999998,34.0,0.437664696322413,0.9961011517905007,0.033098318637248304,0.4067355583339452,0.8056237670011569,74.33583489234074,127.04117653559453,225.50246088824355,1.456437024808838,0.2672469384288332,5.5486200000000006,0.4808691151267981,4.473210000000002,1.2209054883798163,0.2907769683286958
584,OCNC(=O),O-CH2-NH-CO,75.0320284,2.0,2.6,2.6,70.02699999999999,0.37650996105878365,0.20838777668520597,0.20838777668520597,-0.37650996105878365,75.06700000000001,30.0,0.7162850181502697,0.9493616800118759,0.04634204858374025,0.31865560218916616,0.8901306838009533,44.03884860955326,103.65477193018441,136.5372365240402,1.372123299195911,0.12228392817539335,6.346670000000001,0.8537191312080099,4.144130000000001,0.8787273934040164,0.15556669840015935
524,NC(=S)OC,NH-CS-O-CH2,91.00918478,2.0,2.2,2.2,86.095,0.47453190403622575,0.25316411980092685,0.25316411980092685,-0.47453190403622575,91.13499999999999,30.0,0.44682111613368675,0.9178482954007076,0.01301475263176911,0.41311065056890134,0.6635113231110177,52.09438701635819,133.47030351888924,199.93779429265402,1.5170684862465456,0.03780350741664346,4.854940000000003,1.0572759808227905,4.520500000000001,1.0868815634000006,0.14679102605227512
925,C(=O)OC(=O)N,CO-O-CO-NH,89.01129295599999,1.8333333333333333,2.3333333333333335,2.3333333333333335,86.026,0.4115714619214154,0.4115714619214154,0.3789006588150252,-0.3789006588150252,89.05000000000001,34.0,0.4481083434663464,0.970647282991376,0.01526302226151545,0.23642496407156022,0.7628671144750758,51.52725304138989,160.43773476372988,212.58056634897483,1.5616102946664059,5.698963827809945e-11,5.297459999999997,1.1921943050232977,4.460230000000003,0.7653312157339622,0.1438347109461409
912,C(=O)NCC(=O),CO-NH-CH2-CO,87.0320284,1.5,2.1666666666666665,2.3333333333333335,82.03799999999998,0.35189506468500825,0.20697865097200233,0.20697865097200233,-0.35189506468500825,87.07799999999999,34.0,0.18384650927630028,0.9949978603131758,0.01020375333354789,0.27321417343182863,0.7880385311747377,73.12731426682802,122.95741705111307,157.86104291898306,1.4688997696365422,0.00837006508836455,5.653620000000002,1.2156576277960014,4.243779999999999,0.7538542574966804,0.11125378769186993
331,C(=O)NCO,CO-NH-CH2-O,75.0320284,2.0,2.6,2.6,70.02699999999999,0.37650996105878365,0.20838777668520597,0.20838777668520597,-0.37650996105878365,75.067,30.0,0.702305465306515,0.9940455495298594,0.017290731272959426,0.2830408258606366,0.7402786581105476,42.838025720902316,105.94769661116877,139.7925005467626,1.3968094878001474,0.12164907270750897,6.173850000000004,0.7761965313205502,3.975870000000002,0.7785769452835911,0.08804616314368903
818,CCOC(=O),CH2-CH2-O-CO,74.036779432,2.0,2.6,2.6,68.03099999999999,0.46819518164403584,0.2925654199437486,0.2925654199437486,-0.46819518164403584,74.07900000000001,30.0,0.6923586124662602,0.9356238543688111,0.015532813789415786,0.12178673432721883,0.7412503482590272,42.98876359020195,83.7582374684171,120.4539032006935,1.4024605452089498,2.2355564440606006e-10,6.464680000000002,0.8949473831161007,3.916500000000001,0.7959425324991989,0.082302878793251
1039,NC(=O)NC,NH-CO-NH-CH2,74.048012812,2.0,2.2,2.2,68.035,0.3516773223191029,0.3114124390020204,0.3114124390020204,-0.3516773223191029,74.083,30.0,0.4013861548135445,0.9625029240772569,0.01750244821386456,0.2703467102301003,0.7332749573089052,39.502308313583505,104.13089053233541,142.85418539285826,1.4419909932995216,8.111258151734975e-11,6.036510000000005,0.866637771334567,3.8950700000000005,0.8284359635366775,0.0805837650466076
837,CNC(=O)C,CH2-NH-CO-CH2,73.052763844,1.8,2.0,2.0,66.039,0.3594196242661188,0.2161137935640745,0.2161137935640745,-0.3594196242661188,73.095,30.0,0.40212718905798184,0.9620149623300172,0.019205809600189395,0.27590202453143137,0.7258353532286488,38.31292764827698,99.98920196160327,137.69205050077815,1.4457487930716213,2.0500696376350107e-12,6.160760000000006,0.8841475724136256,3.91469,0.794087060793391,0.07773044780711982
824,CC(=O)NC,CH2-CO-NH-CH2,73.052763844,1.8,2.0,2.0,66.039,0.3594196242661188,0.21611379356407445,0.21611379356407445,-0.3594196242661188,73.095,30.0,0.4066559704470314,0.9624053138317937,0.018839541346270985,0.2756823635515169,0.7274136693610597,37.0449220178089,102.49093224553917,139.97274879987108,1.451007804175663,9.54644253620897e-15,6.0913000000000075,1.0622642062204926,3.9215399999999994,0.7888944046839277,0.07275086880226948
624,OC(=S)NC,O-CS-NH-CH2,91.00918478,2.0,2.2,2.2,86.095,0.4866511952292024,0.2533591633788502,0.2533591633788502,-0.4866511952292024,91.13499999999999,30.0,0.2658510956352201,0.8989936468998114,0.00682214388706321,0.23887874323759792,0.5727448129235174,51.22877631636119,165.0437221266419,198.1149708053227,1.5178244710871718,2.7597346065512133e-12,4.679130000000003,1.3230743413446933,4.26409,0.7704824430613382,0.06861365471390465
1037,NC(=O)CN,NH-CO-CH2-NH,74.048012812,1.8,2.0,2.0,68.03500000000001,0.368575137721739,0.23065745190635847,0.23065745190635847,-0.368575137721739,74.083,30.0,0.4108148185434283,0.9576140521559815,0.01926752451792196,0.26742177002793105,0.7176910692905265,41.45149314907451,107.86414757682064,146.03778254176936,1.4633301787391444,1.5568565944009427e-11,5.407940000000004,1.0201864266371585,3.9810300000000014,0.8097486549797984,0.06824238097267554
1033,NCNC(=O),NH-CH2-NH-CO,74.048012812,2.0,2.6,2.6,68.035,0.34634106999754205,0.20761121121708156,0.20761121121708156,-0.34634106999754205,74.083,30.0,0.301691083217932,0.9472025909832645,0.04481820686533837,0.3226427817973117,0.7521771640663747,44.652349414229576,88.94927918794416,174.0350817720413,1.3898419350935463,0.11338348113118246,5.634590000000003,0.801254555778141,3.965330000000002,0.7594478869341897,0.06800174631571795
1085,OC(=S)OC,O-CS-O-CH2,91.993200368,2.0,2.2,2.2,88.08699999999999,0.47240778485578144,0.3489454823139267,0.3489454823139267,-0.47240778485578144,92.119,30.0,0.2628918689903708,0.9492276729250304,0.00869886483786697,0.3527079046708635,0.7000476303508766,82.62769975858176,128.27128272745867,205.68431928710172,1.5341020914135097,0.07411636731642275,4.752050000000004,0.8833858858530445,4.281089999999999,0.757476929236762,0.06671307004376897
506,NC(=O)CO,NH-CO-CH2-O,75.0320284,2.0,2.2,2.2,70.027,0.3865488206226777,0.242630212251857,0.242630212251857,-0.3865488206226777,75.067,30.0,0.40584844573886586,0.9668656277134786,0.017982312853430122,0.2696821669438152,0.7384592742268318,39.28457018957754,109.76754923656145,150.73901632892043,1.4692129994262155,1.6456653717427418e-12,5.427760000000003,1.1292997632725748,3.9530399999999974,0.8184257843624181,0.0650210770778032
577,OCC(=O)N,O-CH2-CO-NH,75.0320284,2.0,2.2,2.2,70.027,0.3865488206226777,0.24263021225185694,0.24263021225185694,-0.3865488206226777,75.06700000000001,30.0,0.403990924071279,0.9609215803644539,0.019564764570992384,0.25798041934538407,0.7286349347140704,40.29359446947636,111.39505373451243,146.31214536238804,1.4584123364784314,6.307840662508246e-12,5.542180000000005,1.0349302805559775,3.9067200000000004,0.8183568575836754,0.06353209318208199
1029,NCC(=O)N,NH-CH2-CO-NH,74.048012812,1.8,2.0,2.0,68.035,0.368575137721739,0.23065745190635847,0.23065745190635847,-0.368575137721739,74.083,30.0,0.421391514059,0.9592526476442471,0.017767796783783544,0.2828089196581711,0.7325723647723065,38.62197084551872,104.67441389503476,145.88554449637965,1.461246744889655,1.0854846190015144e-09,5.418450000000004,1.0325967937067082,3.966290000000001,0.7935149196545483,0.06332840922261583
508,NC(=O)OC,NH-CO-O-CH2,75.0320284,2.0,2.2,2.2,70.027,0.45303413111760893,0.40370813948805445,0.40370813948805445,-0.45303413111760893,75.06700000000001,30.0,0.3830054397458768,0.9610055505036481,0.017998630205399973,0.2863395018970859,0.7262954484157149,39.946616629824376,100.14047505253743,142.33502316827187,1.4209821907594697,2.945498403675074e-12,6.7305700000000055,0.8026013627174717,3.8515400000000035,0.7538982995019438,0.06284248789801546
923,C(=O)OC(=O)C,CO-O-CO-CH2,88.01604398799999,1.8333333333333333,2.3333333333333335,2.3333333333333335,84.02999999999999,0.39569076285437793,0.309595373958307,0.309595373958307,-0.39569076285437793,88.062,34.0,0.44393046303788725,0.9682648894684299,0.014921187974510851,0.24873147112503005,0.7568797786525063,51.547934375018585,153.0822876384026,203.16813496346865,1.5546131980928726,1.6181177927923835e-11,5.5897099999999975,1.0877188833868012,3.9711700000000008,0.7570251671234524,0.06148138741764948
253,COC(=O)N,CH2-O-CO-NH,75.0320284,2.0,2.2,2.2,70.027,0.45303413111760893,0.40370813948805445,0.40370813948805445,-0.45303413111760893,75.06700000000001,30.0,0.390731046544471,0.9592172178507146,0.01816994628652099,0.27825696455412746,0.7225577421879409,39.152574862373875,98.38654221023673,137.87068773883314,1.425137502525494,4.757319470142999e-12,6.675200000000005,0.8703186251864977,3.853280000000004,0.7473430307826417,0.06077167305536351
810,CCC(=O)N,CH2-CH2-CO-NH,73.052763844,2.0,2.2,2.2,66.039,0.3696890269934933,0.21663411115846473,0.21663411115846473,-0.3696890269934933,73.095,30.0,0.27026795583547,0.9277994735379137,0.015834912943388485,0.27686908580052755,0.7652068610693992,37.152978905119554,99.03557999857698,130.8919926753854,1.4548904100428155,0.16788574270916312,6.4426900000000025,0.9585252653686465,3.7860400000000003,0.7942022352232352,0.05901089913467854
846,COC(=O)C,CH2-O-CO-CH2,74.036779432,1.8,2.0,2.0,68.031,0.46919810705104836,0.3018471669894445,0.3018471669894445,-0.46919810705104836,74.07900000000001,30.0,0.393210235183672,0.9570296126114123,0.019336938437564618,0.2879696038559813,0.7109015407307592,39.59984560679063,98.82608488809024,138.85643899408046,1.4279858435700425,5.515308549083088e-13,6.416890000000006,0.9399594790780869,3.7662200000000023,0.7981206006843095,0.05704787839959202
